summary,chat_transcipt_body
 Ellie wants to bypass the banking verification information part of the online application process. ,"Chat Started: Monday, September 19, 2022,  (-0700) Chat Origin: West Tier 3 Agent Samantha D ( 2s ) Samantha D: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 1m 45s ) Ellie: Hello, I was wondering if the online application process has an option to bypass the banking verification information part. Most applicants do not want to use this and they end up applying in person and giving me their application and bank stubs in person ( 2m 19s ) Samantha D: Hello! ( 2m 30s ) Samantha D: One moment while I take a look into this for you! ( 4m 19s ) Samantha D: Thank you for your patience! You can customize your applications here: ( 11m 25s ) Ellie: What part would I click on? I still want them to include their employment information ( 13m 38s ) Samantha D: Let me double check which one would just be for banking verification information ( 18m 35s ) Samantha D: You would want to uncheck the Require Proof of Income ( 20m 3s ) Ellie: Just did that! I hope it will work! Thank you so much for your help this is awesome!! ( 20m 21s ) Samantha D: Perfect! ( 20m 25s ) Samantha D: Of course- happy to help :) ( 20m 34s ) Samantha D: I hope you have a great rest of your day :) ( 20m 51s ) Ellie: You too, Samantha Smarty Pants! :) ( 23m 51s ) Samantha D: Haha! Thank you :)"
"Kayla M doesn't have a way to cancel a rental application that was sent through email, so Jerry can't do it.","Chat Started: Monday, October 31, 2022,  (-0500) Chat Origin: East Tier 1 Agent Kayla M ( 2s ) Kayla M: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 20s ) Kayla M: Hi! How can I help? ( 50s ) Jerry: Hi, is it possible to cancel a rental application that was sent through email? ( 1m 20s ) Kayla M: We don't currently have a way to do this. If you would like to see this become a feature, the best way to submit feedback to our engineering team is by submitting feature suggestions and having conversations in the community board. :) ( 1m 42s ) Jerry: so you can't cancel a rental application link? ( 2m 4s ) Kayla M: Correct, we don't currently have the ability to do this."
Yaniv is trying to clear renewals from the dashboard but they were already sent manualy.,"Chat Started: Tuesday, October 25, 2022,  (-0400) Chat Origin: East Tier 1 Agent Carly R ( 2s ) Carly R: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 15s ) Carly R: Hello! ( 21s ) Yaniv: how can i clear renewals ( 32s ) Yaniv: it says send renewals but they were already sent manualy ( 56s ) Carly R: clear from the dashboard? ( 1m 9s ) Yaniv: yeah on reneals workflow ( 2m 9s ) Carly R: you can go and complete the workflow the same way you did it manually, but skip sending a lease ( 2m 56s ) Yaniv: got it ( 2m 58s ) Yaniv: cancel? ( 3m 31s ) Yaniv: i think that worked ( 3m 36s ) Carly R: arent you renewing them? if you cancel they will not be renewed in appfolio ( 3m 51s ) Yaniv: yeah i already did off the platform ( 3m 55s ) Yaniv: so i think that woeks ( 4m 3s ) Carly R: okay, well that's good! ( 4m 25s ) Carly R: is there anything else I can help with? ( 4m 51s ) Yaniv: what is the difference between lease options ( 4m 58s ) Yaniv: and lease info ( 5m 0s ) Yaniv: on the tenant page? ( 5m 16s ) Carly R: I will take a look. is there a specific tenants name? ( 5m 34s ) Yaniv: ryan hamiltom ( 5m 37s ) Yaniv: hamilton ( 6m 56s ) Carly R: lease information is his current lease information mand option is of he does month to month ( 7m 46s ) Yaniv: it gives me a date and term though ( 7m 53s ) Yaniv: that is MTM? ( 8m 17s ) Carly R: yes ( 8m 36s ) Yaniv: thx! ( 8m 41s ) Yaniv: have a good day ( 8m 55s ) Carly R: you too!"
Kasi is new to Af and doesn't know how to use the leasing part of the system.,"Chat Started: Wednesday, November 02, 2022,  (-0500) Chat Origin: East Tier 1 Agent Jamie P ( 1s ) Jamie P: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 17s ) Jamie P: Hi Kasi, How can I help you today? ( 28s ) Kasi: i need to set up a zoom mtg -an hour for sure ( 1m 0s ) Kasi: we are new to af and do not know how to use the leasing part of af ( 1m 41s ) Kasi: currently, we are using dotloop and out other background checkers ( 2m 33s ) Kasi: we have been set up to do all that since april ish we tried once it did not work ( 3m 38s ) Jamie P: When you say ""did not work"" what do you mean? ( 5m 43s ) Kasi: when our future tenant completed the form it stopped at some point and would not go through. ( 7m 2s ) Jamie P: Ohh Okay. In the futrure if you have that issue, reach out so we can troubleshoot. ( 7m 28s ) Jamie P: Have you had a chance to go through the trainings on the Help Section? ( 7m 50s ) Kasi: it was just too much we could not wait til the weekday but i think we actually did reach out that week, not sure. ( 7m 54s ) Jamie P: ( 9m 3s ) Kasi: yes, i'll re-examine it i have, JUST NOW, reconciled with april what a nightmare!!! i'm now reconciled on all my accts, so i'm ready to address leasing needs. ( 9m 30s ) Kasi: can we set up a zoom call for friday? ( 9m 55s ) Kasi: i'll have time to review tutoriials again by thten ( 11m 17s ) Jamie P: I can set up a 30-minute zoom call on Friday to gather any questions and if we need more time we can schedule another call. ( 12m 19s ) Kasi: ok. plz send me a calendar to plan ( 12m 37s ) Jamie P: ( 15m 27s ) Jamie P: I have created case #08928691 on your behalf. I will be following up with you to ensure you are able to successfully complete this task and have any additional questions answered. I will be closing out this chat now. Thank you for reaching out through chat and have a great day!"
"Jeremy wants to group and send an email together with Rhonda Martinez and Martin Martinez, but they didn't fill out a guest card. Jeremy wants them to acknowledge some of his fees. ","Chat Started: Monday, November 14, 2022,  (+0000) Chat Origin: East Tier 1 Agent Nicholas V ( 2s ) Nicholas V: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 19s ) Jeremy: had someone submit an application ( 23s ) Jeremy: actually 2 people ( 31s ) Jeremy: want to group and send an email together ( 38s ) Jeremy: but cant figure out how to do that ( 1m 6s ) Jeremy: before someone fills out an application I want them to acknowledge some of my fees ( 1m 8s ) Jeremy: can I do that ( 3m 54s ) Nicholas V: Hi Jeremy! If they are created as a guest card in the system you can send them an email or text regarding your fees. However, it would be a feature suggestion to have them checkmark an acknowledgement prior to filling out an online rental application. You can still customize the online rental applications to have specific wording. Can you provide me with the link to the two rental applications that came in that you are wanting to group? ( 4m 33s ) Jeremy: Rhonda Martinez and martin martinez ( 4m 45s ) Jeremy: they didn't fill out a guest card but paid an filled out application ( 5m 0s ) Jeremy: I want to make sure they know my pet fees before I run their credit ( 6m 28s ) Nicholas V: I do see that the two rental applications are already grouped. From the rental application page for them you can use the task on the right called ""Email Group"". ( 7m 36s ) Jeremy: I see email rental application ( 8m 27s ) Jeremy: not email group ( 8m 43s ) Jeremy: and when I do that it doesn't populate them as recipients from pull down ( 9m 25s ) Nicholas V: That wouldn't be the correct task. Are you able to provide me with a screenshot of the tasks that you see on that page? The Email Group task should be right below the ""View Guest Card"" task. ( 11m 19s ) Jeremy: /Users/jeremymash/Desktop/Screen Shot 2022-11-14 at 12.29.50 PM.png ( 11m 59s ) Jeremy: guess my problem is they never filled out a guest card ( 12m 6s ) Jeremy: just filled out an application Agent Nicholas V requested a file transfer ( 12m 39s ) Nicholas V: Go ahead and upload the screenshot. File transfer succeeded. ( 16m 18s ) Nicholas V: Thank you! You will want to click on one of their names. Both are already grouped. Clicking on one of them will open up their rental application page and then on the right you will see the Email Group task. ( 17m 8s ) Jeremy: gotcha ( 21m 25s ) Nicholas V: Is there anything else I can help you with today? ( 50m 6s ) Nicholas V: It seems you have stepped away. I am going to go ahead and close our chat. If you have any additional questions, please chat back in. I hope you have a great day!"
Mary has a problem with her on-site manager not being able to accept an application fee from a prospective tenant using a debit card.,"Chat Started: Wednesday, October 26, 2022,  (+0000) Chat Origin: East Tier 1 Agent Brittany F ( 5m 6s ) Brittany F: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 7m 55s ) Mary: I have a on site manger that needs to be able to accept an application fee from a prospective tenant using a debit card. It is not letting her do that what user role should she have in order to do that ( 9m 1s ) Brittany F: Hello, can you explain what you mean by it won't let her accept? ( 11m 6s ) Mary: I m not sure , I will get her to contact support directly ( 12m 35s ) Brittany F: Okay, no problem."
Rachel B will help Casandra add a non PDF 10 page lease.,"Chat Started: Wednesday, November 16, 2022,  (-0800) Chat Origin: West Tier 1 Agent Danielle L ( 1s ) Danielle L: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 31s ) Casandra: How can I add a non PDF 10 page lease. ( 1m 38s ) Danielle L: Hello Cassandra, ( 1m 51s ) Danielle L: What type of attachment would it be ( 3m 46s ) Casandra: It is in the form of a word document now. ( 4m 12s ) Danielle L: I believe your best method to upload would be to save the word document as a pdf ( 6m 13s ) Casandra: I Understand, I have tried that , then tried to upload, but it states it does not like the pdf verision. ( 6m 32s ) Danielle L: what is the error message reading? Chat Started: Wednesday, November 16, 2022,  (-0800) Chat Origin: West Tier 1 Agent Rachel B ( 11m 22s ) Rachel B: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 17m 13s ) Rachel B: Hi Casandra, so sorry about that. It seems your rep lost connection. One moment while I catch up so I can assist you!"
"Ron wants to create a separate application for his commercial properties. There is only one application on the database, so he will have to edit them, send it to the commercial property and then edit back the way it was.","Chat Started: Friday, October 28, 2022,  (-0700) Chat Origin: West Tier 1 Agent Victor E ( 2s ) Victor E: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 27s ) Ron: I want to know how to create a separate application for my commercial properties or how this is typically handled. Thankyou ( 29s ) Ron: Thank you* ( 2m 15s ) Victor E: Hello Ron, as of right now there is only one application on the database so you will have to edit them, send it out to the commercial property and then edit back the way it was. If you want it to be a feature to have two applications or more then the best place to provide feedback is to our Product Suggestion Board. This is where our Product Managers check to see what our clients need. If you click the ""Make a Suggestion"" link at the bottom of any page in your database, you can vote for existing ideas and post a new idea for other users to vote on. Please provide an explanation on why this would be helpful to you so we can pass the feedback to our Product team. ( 2m 42s ) Ron: Okay thank you"
"Adam asked about NY specific rent templates, but AppFolio does not offer them.","Chat Started: Wednesday, October 26, 2022,  (-0500) Chat Origin: East Tier 1 Agent Logan L ( 3s ) Logan L: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 12s ) Logan L: Hi Adam ( 40s ) Adam: Hi, does AppFolio have NY specific rent templates already built into the system? ( 1m 51s ) Logan L: are you asking about lease templates? IF so, no we do not offer lease templates like that but you can generate an NYC stabilized lease renewal. ( 1m 55s ) Logan L: ( 2m 54s ) Adam: what about forr initial leases? ( 3m 54s ) Logan L: no, we don't offer lease templates like that NYC or otherwise. You can build one out or you can use PDF forms to upload one and then build it out. ( 4m 15s ) Logan L: ( 4m 23s ) Logan L: ( 4m 33s ) Logan L: these go into detail on the 2 options I mentioned. ( 5m 5s ) Logan L: ( 5m 43s ) Logan L: this is the ""sample lease template"" from your database, the same that any database starts with. it is not customized to different areas."
"Josh is looking at 3114 Woodland Taber Dominguez, but he doesn't have the option to edit at the top of individual applications.","Chat Started: Tuesday, November 08, 2022,  (-0600) Chat Origin: East Tier 1 Agent Logan L ( 8s ) Logan L: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 22s ) Logan L: Hi Josh ( 39s ) Josh: I manually entered a group of applications and i got the email address wrong how can i edit it? ( 1m 39s ) Logan L: ( 2m 16s ) Logan L: do you have the option to edit at the top of individual applications from here? ( 5m 17s ) Josh: No it does not give me an option to edit. ( 6m 48s ) Logan L: right, once they are in converting that edit button goes away. the one I was looking at looks like a lease is already out for signing actually. you could try cancelling and re-doing, that will bring back the option to edit. ( 11m 0s ) Josh: Ok then all tenants will have to resign correct? ( 11m 41s ) Logan L: correct ( 14m 11s ) Josh: I cancelled and i still don't have an edit button? ( 15m 9s ) Logan L: which one are you looking at? ( 15m 46s ) Josh: 3114 Woodland Taber Dominguez ( 15m 54s ) Logan L: ( 16m 6s ) Logan L: they are still in converting, in the middle of the move in flow ( 17m 36s ) Logan L: I see the edit button is back now on that one ( 19m 10s ) Logan L: Is there anything else I can assist you with at this time? ( 20m 54s ) Josh: No i believe that is all. Thank you"
